Name,Genres,Studio,Type,Score,Score Rank,Num. of episodes,Popularity Rank
Golden Kamuy 3rd Season,"['action', 'adventure']",['geno studio'],tv,8.45,135,12,1458
Haikyuu!!,['sports'],['production i.g'],tv,8.45,136,25,38
Mo Dao Zu Shi: Xian Yun Pian,"['action', 'mystery', 'supernatural']",['b.cmay pictures'],ona,8.45,137,8,1960
Vivy: Fluorite Eye's Song,"['action', 'sci-fi', 'suspense']",['wit studio'],tv,8.45,138,13,440
Yuu☆Yuu☆Hakusho,"['action', 'comedy', 'supernatural']",['studio pierrot'],tv,8.45,139,112,281
Mushishi Zoku Shou: Odoro no Michi,"['adventure', 'fantasy', 'mystery', 'slice of life', 'supernatural']",['artland'],special,8.44,140,1,1853
Saiki Kusuo no Ψ-nan 2,"['comedy', 'slice of life', 'supernatural']","['j.c.staff', 'egg firm']",tv,8.44,141,24,334
Gintama: Yorinuki Gintama-san on Theater 2D,"['action', 'comedy', 'sci-fi']",['sunrise'],movie,8.44,143,2,3012
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,"['action', 'adventure', 'drama', 'supernatural']",['david production'],tv,8.44,144,24,133
Grand Blue,"['comedy', 'slice of life']",['zero-g'],tv,8.43,145,12,256
JoJo no Kimyou na Bouken Part 6: Stone Ocean,"['action', 'adventure']",['david production'],ona,8.43,146,12,584
Kono Oto Tomare! 2nd Season,"['drama', 'romance']",['platinum vision'],tv,8.43,147,13,1364
Koukaku Kidoutai: Stand Alone Complex,"['action', 'sci-fi']",['production i.g'],tv,8.43,148,26,502
Mononoke,"['fantasy', 'horror', 'mystery', 'supernatural']",['toei animation'],tv,8.43,149,12,709
Saiki Kusuo no Ψ-nan,"['comedy', 'slice of life', 'supernatural']","['j.c.staff', 'egg firm']",tv,8.43,150,120,140
Major S5,"['comedy', 'drama', 'romance', 'sports']",['synergysp'],tv,8.42,151,25,2268
Natsume Yuujinchou Movie: Utsusemi ni Musubu,"['drama', 'slice of life', 'supernatural']",['shuka'],movie,8.41,153,1,2392
Sayonara no Asa ni Yakusoku no Hana wo Kazarou,"['drama', 'fantasy']",['p.a. works'],movie,8.41,154,1,525
Shingeki no Kyojin: Kuinaki Sentaku,['action'],['wit studio'],ova,8.41,155,2,407
Sono Bisque Doll wa Koi wo Suru,"['romance', 'slice of life']",['cloverworks'],tv,8.41,156,12,265
